"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Apoptosis_Pan Cancer_37968457","Apoptosis_Pan Cancer_37968457",146,0.998,3.25754692377824,1e-10,1.08e-10,NA,152,"tags=100%, list=5%, signal=100%","TP53/TERT/PTCH1/MYC/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/GSN/RAF1/CASP3/CCND1/JAK2/AR/TUBB/NDE1/GLI1/CYCS/SALL4/MDM2/AIFM1/CAV1/EDN1/MKI67/SNCA/CDKN1A/CD40/EDNRB/BAX/NOS2/APP/PRKCD/USP9X/TREX1/ATRIP/TGM1/ETS1/NOS3/CASP9/CD4/MAP3K1/PARP1/LEP/ANXA5/JUN/SLC6A3/IL3/CD44/THBS1/CUL3/NME1/BCL2L1/CASP7/PRKCA/EPO/SIRT1/FDFT1/CAT/TLR3/BIRC5/REN/MCL1/JAK3/MAPK8/NOS1/PRKCE/BIRC8/ADIPOQ/ANXA1/HTRA2/FDPS/LTF/CASP6/CASP1/DNASE1/CD47/TNFSF10/RASSF1/XDH/CHP1/TUBA4A/CASP2/CAPN1/TP73/LALBA/MAPK14/F2R/GADD45A/STAT5A/APOL1/FAM111A/DYNC1I2/ATRIP-TREX1/BAK1/PLA2G4A/TNFRSF10A/TNFRSF10B/APAF1/BECN1/TERF1/BCL2L11/VDAC1/SIRT3/TUBA1B/LINGO1/IDO1/STK17B/HERPUD1/TFPT/RUNX3/SIRT2/ENDOG/BAD/ATP12A/PDE5A/PSIP1/ATOH1/TOP3B/MIR130A/PPP3R2/PRDX6/PRDX5/PDGFD/SQLE/H2BC21/H1-1/GZMA/GPR87/BCL2L2/RPS5/UBE3C/PRDX4/MAPK13/WNK3/ADRB3/BIK/H3C15/PLAAT4/BCL2L10/TDRD3/SERPINB9/ANKRD36B/MIOX"
"Intrinsic apoptosis_GeneCards","Intrinsic apoptosis_GeneCards",136,0.995681063122924,3.23071102281418,1e-10,1.08e-10,NA,149,"tags=100%, list=5%, signal=100%","TP53/TERT/PTCH1/MYC/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/GSN/RAF1/CASP3/CCND1/JAK2/AR/TUBB/NDE1/GLI1/CYCS/SALL4/MDM2/AIFM1/CAV1/EDN1/MKI67/SNCA/CDKN1A/CD40/EDNRB/BAX/NOS2/APP/PRKCD/USP9X/TREX1/ATRIP/TGM1/ETS1/NOS3/CASP9/CD4/MAP3K1/PARP1/LEP/ANXA5/JUN/SLC6A3/IL3/CD44/THBS1/CUL3/NME1/BCL2L1/CASP7/PRKCA/EPO/SIRT1/FDFT1/CAT/TLR3/BIRC5/REN/MCL1/JAK3/MAPK8/NOS1/PRKCE/ADIPOQ/ANXA1/HTRA2/FDPS/LTF/CASP6/CASP1/DNASE1/CD47/TNFSF10/RASSF1/XDH/CHP1/TUBA4A/CASP2/CAPN1/TP73/LALBA/MAPK14/F2R/GADD45A/STAT5A/APOL1/FAM111A/DYNC1I2/BAK1/PLA2G4A/TNFRSF10A/TNFRSF10B/APAF1/BECN1/TERF1/BCL2L11/VDAC1/SIRT3/TUBA1B/IDO1/STK17B/HERPUD1/TFPT/RUNX3/SIRT2/ENDOG/BAD/ATP12A/PDE5A/PSIP1/ATOH1/TOP3B/PPP3R2/PRDX6/PRDX5/SQLE/H2BC21/H1-1/BCL2L2/RPS5/UBE3C/PRDX4/MAPK13/WNK3/ADRB3/BIK/H3C15/BCL2L10/TDRD3/SERPINB9"
"Mitotic death_GeneCards","Mitotic death_GeneCards",124,0.992058239576439,3.20085463984327,1e-10,1.08e-10,NA,148,"tags=100%, list=5%, signal=99%","TP53/TERT/PTCH1/MYC/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/GSN/RAF1/CASP3/CCND1/JAK2/AR/TUBB/NDE1/GLI1/CYCS/SALL4/MDM2/AIFM1/CAV1/EDN1/MKI67/SNCA/CDKN1A/CD40/EDNRB/BAX/NOS2/APP/PRKCD/USP9X/TREX1/ATRIP/TGM1/ETS1/CASP9/CD4/MAP3K1/PARP1/LEP/ANXA5/JUN/SLC6A3/IL3/CD44/THBS1/CUL3/NME1/BCL2L1/CASP7/PRKCA/EPO/SIRT1/FDFT1/CAT/TLR3/BIRC5/REN/MCL1/JAK3/MAPK8/NOS1/PRKCE/ADIPOQ/ANXA1/HTRA2/FDPS/LTF/CASP6/CASP1/DNASE1/CD47/TNFSF10/RASSF1/XDH/CHP1/TUBA4A/CASP2/CAPN1/TP73/MAPK14/F2R/GADD45A/STAT5A/DYNC1I2/BAK1/PLA2G4A/TNFRSF10A/TNFRSF10B/APAF1/BECN1/TERF1/BCL2L11/VDAC1/SIRT3/TUBA1B/IDO1/TFPT/RUNX3/SIRT2/ENDOG/BAD/PDE5A/PSIP1/ATOH1/TOP3B/PPP3R2/PRDX6/PRDX5/H2BC21/H1-1/BCL2L2/RPS5/UBE3C/PRDX4/MAPK13/BIK/H3C15/TDRD3"
"Extrinsic apoptosis_GeneCards","Extrinsic apoptosis_GeneCards",95,0.982956407735169,3.08530288932446,1e-10,1.08e-10,NA,147,"tags=100%, list=5%, signal=98%","TP53/TERT/MYC/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/GSN/RAF1/CASP3/CCND1/JAK2/AR/TUBB/GLI1/CYCS/MDM2/AIFM1/CAV1/EDN1/MKI67/SNCA/CDKN1A/CD40/EDNRB/BAX/NOS2/APP/PRKCD/USP9X/NOS3/CASP9/CD4/PARP1/LEP/ANXA5/JUN/SLC6A3/IL3/CD44/THBS1/CUL3/BCL2L1/CASP7/PRKCA/EPO/SIRT1/FDFT1/CAT/TLR3/BIRC5/REN/MCL1/JAK3/MAPK8/NOS1/ADIPOQ/ANXA1/HTRA2/LTF/CASP6/CASP1/CD47/TNFSF10/XDH/CASP2/CAPN1/TP73/LALBA/MAPK14/F2R/GADD45A/BAK1/TNFRSF10A/TNFRSF10B/APAF1/BECN1/BCL2L11/VDAC1/IDO1/RUNX3/SIRT2/ENDOG/BAD/ATOH1/PRDX6/PRDX5/H2BC21/GZMA/BCL2L2/BIK/BCL2L10"
"Autosis(autophagic_cell_death)_GeneCards","Autosis(autophagic_cell_death)_GeneCards",93,0.981984932852932,3.0739899403058,1e-10,1.08e-10,NA,148,"tags=100%, list=5%, signal=98%","TP53/TERT/PTCH1/MYC/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/GSN/RAF1/CASP3/CCND1/JAK2/AR/TUBB/GLI1/CYCS/MDM2/AIFM1/CAV1/MKI67/SNCA/CDKN1A/BAX/NOS2/APP/PRKCD/USP9X/NOS3/CASP9/CD4/PARP1/LEP/ANXA5/JUN/CD44/CUL3/NME1/BCL2L1/CASP7/PRKCA/SIRT1/FDFT1/CAT/TLR3/BIRC5/MCL1/MAPK8/PRKCE/ADIPOQ/ANXA1/FDPS/LTF/CASP1/CD47/TNFSF10/RASSF1/TUBA4A/TP73/LALBA/MAPK14/F2R/STAT5A/APOL1/BAK1/PLA2G4A/TNFRSF10B/APAF1/BECN1/BCL2L11/VDAC1/SIRT3/TUBA1B/HERPUD1/SIRT2/BAD/ATP12A/PSIP1/TOP3B/PRDX6/PRDX5/SQLE/H2BC21/H1-1/RPS5/UBE3C/PRDX4/BIK/BCL2L10/TDRD3"
"Mitotic_catastrophe_GeneCards","Mitotic_catastrophe_GeneCards",56,0.974433656957929,2.93458574728057,1e-10,1.08e-10,NA,135,"tags=100%, list=4%, signal=97%","TP53/MYC/VIM/BCL2/TNF/EGFR/FAS/CASP3/CCND1/JAK2/TUBB/NDE1/CYCS/SALL4/MDM2/AIFM1/EDN1/MKI67/SNCA/CDKN1A/BAX/APP/CASP9/PARP1/ANXA5/SLC6A3/THBS1/BCL2L1/CASP7/PRKCA/EPO/CAT/BIRC5/MCL1/MAPK8/CASP6/CASP1/DNASE1/TNFSF10/CASP2/TP73/MAPK14/GADD45A/PLA2G4A/APAF1/TERF1/BCL2L11/TUBA1B/IDO1/SIRT2/ENDOG/BAD/PSIP1/PRDX5/H1-1/UBE3C"
"Anoikis_Pan Cancer_37275895","Anoikis_Pan Cancer_37275895",41,0.969082125603865,2.80090716660223,1e-10,1.08e-10,NA,137,"tags=100%, list=4%, signal=97%","TP53/MYC/BCL2/MAPK1/EGFR/FAS/RAF1/CASP3/CCND1/AR/CYCS/MDM2/CAV1/CDKN1A/BAX/CASP9/MAP3K1/PARP1/ANXA5/CD44/THBS1/BCL2L1/PRKCA/SIRT1/TLR3/BIRC5/MCL1/MAPK8/LTF/CASP6/TNFSF10/CASP2/TP73/BAK1/TNFRSF10B/BCL2L11/SIRT3/ENDOG/BAD/BCL2L2/PRDX4"
"Apoptosis_Pan Cancer_36703967","Apoptosis_Pan Cancer_36703967",40,0.9703799098519,2.79271961955957,1e-10,1.08e-10,NA,132,"tags=100%, list=4%, signal=97%","TP53/MYC/VIM/BCL2/MAPK1/TNF/FAS/GSN/CASP3/CYCS/MDM2/AIFM1/BAX/PRKCD/CASP9/MAP3K1/JUN/IL3/BCL2L1/CASP7/BIRC5/MCL1/MAPK8/CASP6/CASP1/TNFSF10/CHP1/CASP2/CAPN1/TP73/BAK1/TNFRSF10A/TNFRSF10B/APAF1/BCL2L11/ENDOG/BAD/PPP3R2/H1-1/BCL2L2"
"Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards","Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards",38,0.972007722007722,2.77180390182599,1e-10,1.08e-10,NA,125,"tags=100%, list=4%, signal=97%","TP53/VIM/BCL2/MAPK1/TNF/DNAH8/EGFR/FAS/CASP3/CCND1/JAK2/CYCS/AIFM1/SNCA/CDKN1A/BAX/NOS2/APP/NOS3/CASP9/PARP1/LEP/ANXA5/SLC6A3/CD44/BCL2L1/PRKCA/CAT/MAPK8/NOS1/TNFSF10/XDH/MAPK14/PLA2G4A/APAF1/VDAC1/BAD/PRDX5"
"Apoptosis_Pan cancer_36044785","Apoptosis_Pan cancer_36044785",39,0.965239781139363,2.7648956581431,1e-10,1.08e-10,NA,147,"tags=100%, list=5%, signal=97%","TP53/BCL2/TNF/FAS/GSN/CASP3/CCND1/CYCS/AIFM1/CAV1/CDKN1A/BAX/APP/CASP9/JUN/IL3/CD44/BCL2L1/CASP7/MCL1/ANXA1/CASP6/CASP1/TNFSF10/CHP1/CASP2/CAPN1/F2R/GADD45A/TNFRSF10A/TNFRSF10B/APAF1/BCL2L11/ENDOG/BAD/PPP3R2/BCL2L2/BIK/BCL2L10"
"Accidental cell death_GeneCards","Accidental cell death_GeneCards",32,0.973025048169557,2.68611586297254,1e-10,1.08e-10,NA,116,"tags=100%, list=4%, signal=97%","TP53/PTCH1/VIM/BCL2/TNF/EGFR/FAS/RAF1/CASP3/AR/MKI67/SNCA/CDKN1A/BAX/NOS2/APP/CD4/JUN/IL3/EPO/CAT/MCL1/CASP6/CASP1/CD47/XDH/LALBA/MAPK14/PLA2G4A/BCL2L11/ENDOG/BAD"
"Autophagy_Pan Cancer_35241019","Autophagy_Pan Cancer_35241019",31,0.972712680577849,2.66960447729649,1e-10,1.08e-10,NA,116,"tags=100%, list=4%, signal=97%","TP53/MYC/BCL2/MAPK1/EGFR/FAS/RAF1/CASP3/SNCA/CDKN1A/BAX/PRKCD/PARP1/LEP/BCL2L1/SIRT1/BIRC5/MCL1/MAPK8/HTRA2/CASP1/TNFSF10/CAPN1/TP73/APOL1/BAK1/BECN1/BCL2L11/VDAC1/SIRT2/BAD"
"Ferroptosis_FerrDb V2(36305834)","Ferroptosis_FerrDb V2(36305834)",26,0.959615384615385,2.53626103991344,1e-10,1.08e-10,NA,152,"tags=100%, list=5%, signal=96%","TP53/TERT/MAPK1/EGFR/AR/MDM2/CAV1/SNCA/CDKN1A/NOS2/PARP1/JUN/CD44/PRKCA/SIRT1/MAPK8/ADIPOQ/CHP1/MAPK14/BECN1/SIRT3/IDO1/HERPUD1/SIRT2/PRDX6/MIOX"
"Apoptosis_Pan Cancer_35241019","Apoptosis_Pan Cancer_35241019",22,0.967669654289373,2.47583851548799,1e-10,1.08e-10,NA,123,"tags=100%, list=4%, signal=97%","TP53/BCL2/TNF/FAS/CASP3/CYCS/AIFM1/BAX/CASP9/IL3/BCL2L1/CASP7/CASP6/TNFSF10/CHP1/CAPN1/TNFRSF10A/TNFRSF10B/APAF1/ENDOG/BAD/PPP3R2"
"Necroptosis_BRCA_Prognosis_37787960","Necroptosis_BRCA_Prognosis_37787960",18,0.972186700767263,2.39551881441203,1e-10,1.08e-10,NA,105,"tags=100%, list=3%, signal=97%","BCL2/TNF/FAS/JAK2/AIFM1/BAX/PARP1/TLR3/JAK3/MAPK8/CASP1/TNFSF10/CAPN1/STAT5A/PLA2G4A/TNFRSF10A/TNFRSF10B/VDAC1"
"Necroptosis_Glioma_Prognosis_36466844","Necroptosis_Glioma_Prognosis_36466844",17,0.971875998721636,2.38396252912206,1e-10,1.08e-10,NA,105,"tags=100%, list=3%, signal=97%","BCL2/TNF/FAS/AIFM1/BAX/PARP1/TLR3/JAK3/MAPK8/CASP1/TNFSF10/CAPN1/STAT5A/PLA2G4A/TNFRSF10A/TNFRSF10B/VDAC1"
"Disulfidptosis_CD_38433839","Disulfidptosis_CD_38433839",17,0.957813998082454,2.34946915481053,1e-10,1.08e-10,NA,149,"tags=100%, list=5%, signal=96%","JAK2/CD40/NOS2/ANXA5/CD44/THBS1/BCL2L1/CAT/ANXA1/DNASE1/F2R/STAT5A/APOL1/PLA2G4A/IDO1/BCL2L10/SERPINB9"
"Necroptosis_Pan Cancer_36044785","Necroptosis_Pan Cancer_36044785",15,0.968380709038646,2.29548584085016,1e-10,1.08e-10,NA,114,"tags=100%, list=4%, signal=97%","TERT/MYC/BCL2/TNF/EGFR/FAS/CD40/APP/SIRT1/TLR3/MAPK8/TNFSF10/BCL2L11/SIRT3/SIRT2"
"Necroptosis_COAD_36353119","Necroptosis_COAD_36353119",14,0.970945083014049,2.25991975336179,1e-10,1.08e-10,NA,105,"tags=100%, list=3%, signal=97%","BCL2/FAS/JAK2/AIFM1/BAX/PARP1/TLR3/JAK3/MAPK8/TNFSF10/PLA2G4A/TNFRSF10A/TNFRSF10B/VDAC1"
"Necroptosis_AML_37993258","Necroptosis_AML_37993258",14,0.968071519795658,2.25323140157611,1e-10,1.08e-10,NA,114,"tags=100%, list=4%, signal=97%","TERT/MYC/BCL2/EGFR/FAS/CD40/APP/SIRT1/TLR3/MAPK8/TNFSF10/BCL2L11/SIRT3/SIRT2"
"Cuproptosis_CuPCA","Cuproptosis_CuPCA",13,0.962336418767954,2.21043513440878,1e-10,1.08e-10,NA,131,"tags=100%, list=4%, signal=96%","NDE1/AIFM1/SNCA/CDKN1A/CD44/MCL1/ANXA1/BECN1/SIRT3/RUNX3/ENDOG/PRDX5/GPR87"
"Anoikis_LUSC_40028162","Anoikis_LUSC_40028162",13,0.960421321417172,2.20603625851941,1e-10,1.08e-10,NA,137,"tags=100%, list=4%, signal=96%","EGFR/CASP3/AR/CYCS/CAV1/PARP1/THBS1/TLR3/BIRC5/CASP2/TP73/BAK1/PRDX4"
"Disulfidptosis_UC_38433839","Disulfidptosis_UC_38433839",13,0.956591126715608,2.19723850674067,1e-10,1.08e-10,NA,149,"tags=100%, list=5%, signal=96%","NOS2/ETS1/ANXA5/CD44/BCL2L1/JAK3/ANXA1/F2R/APOL1/IDO1/ATOH1/PRDX6/SERPINB9"
"Lysosome-dependentcelldeath_GeneCards","Lysosome-dependentcelldeath_GeneCards",11,0.970334928229665,2.13247030016001,1e-10,1.08e-10,NA,104,"tags=100%, list=3%, signal=97%","TP53/TNF/EGFR/JAK2/PARP1/SIRT1/MCL1/CAPN1/MAPK14/BECN1/BCL2L11"
"Paraptosis_GeneCards","Paraptosis_GeneCards",10,0.974808673469388,2.08827396660636,1e-10,1.08e-10,NA,89,"tags=100%, list=3%, signal=97%","TP53/MAPK1/CASP3/AIFM1/CASP9/ANXA5/THBS1/CASP7/MAPK8/MAPK14"
"Autophagy_Pan Cancer_41554207","Autophagy_Pan Cancer_41554207",10,0.962691326530612,2.06231570336428,4.44250944005802e-09,4.61337518775256e-09,NA,127,"tags=100%, list=4%, signal=96%","CDKN1A/ETS1/JUN/CD44/SIRT1/TNFSF10/TP73/F2R/TNFRSF10A/SQLE"
"Ferroptosis_Pan Cancer_37968457","Ferroptosis_Pan Cancer_37968457",11,0.955023923444976,2.09882185360917,5.44238812147295e-09,5.44238812147295e-09,NA,152,"tags=100%, list=5%, signal=96%","EGFR/CAV1/NOS2/JUN/CD44/MAPK8/CHP1/SIRT3/HERPUD1/PRDX6/MIOX"
