"Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Control","Control","Ferroptosis_FerrDb V2(36305834)","Ferroptosis_FerrDb V2(36305834)","15/15","486/3486",0.0308641975308642,7.17283950617284,9.64189075780954,1.21047626150073e-13,4.11561928910248e-12,2.03869686147491e-12,"RPL8/IREB2/ATP5MC3/CS/EMC2/ACSF2/NOX1/CYBB/NOX3/NOX4/NOX5/DUOX1/DUOX2/G6PD/PGD",15
"Control","Control","Mitotic death_GeneCards","Mitotic death_GeneCards","12/15","343/3486",0.0349854227405248,8.13061224489796,9.14158294307629,2.38463533749913e-10,4.05388007374853e-09,2.00811396842032e-09,"RPL8/IREB2/ATP5MC3/CS/EMC2/NOX1/CYBB/NOX4/DUOX1/DUOX2/G6PD/PGD",12
"Control","Control","Ferroptosis_Pan Cancer_37968457","Ferroptosis_Pan Cancer_37968457","10/15","252/3486",0.0396825396825397,9.22222222222222,8.90715862905185,7.13617671147782e-09,8.08766693967486e-08,4.00627464504018e-08,"CS/EMC2/NOX1/CYBB/NOX3/NOX5/DUOX1/DUOX2/G6PD/PGD",10
"Control","Control","Intrinsic apoptosis_GeneCards","Intrinsic apoptosis_GeneCards","11/15","406/3486",0.0270935960591133,6.29655172413793,7.462779162742,4.16725611957072e-08,3.54216770163511e-07,1.75463415560872e-07,"RPL8/IREB2/CS/NOX1/CYBB/NOX3/NOX4/DUOX1/DUOX2/G6PD/PGD",11
"Control","Control","Ferroptosis_PD_Prognosis_40465746","Ferroptosis_PD_Prognosis_40465746","6/15","55/3486",0.109090909090909,25.3527272727273,11.9657053609825,5.2411432420419e-08,3.56397740458849e-07,1.76543772363516e-07,"RPL8/NOX4/NOX5/DUOX1/DUOX2/G6PD",6
"Control","Control","Disulfidptosis_Up_38035663","Disulfidptosis_Up_38035663","2/15","5/3486",0.4,92.96,13.5254482488025,0.00017157120544429,0.000972236830850978,0.000481603383703271,"G6PD/PGD",2
"Control","Control","Disulfidptosis_CD_38433839","Disulfidptosis_CD_38433839","4/15","75/3486",0.0533333333333333,12.3946666666667,6.55708949165147,0.00022549199037895,0.00109524681041204,0.000542537119708751,"ACSF2/CYBB/DUOX2/G6PD",4
"Control","Control","Ferroptosis_EGFRWTLUAD_Prognosis_39478024","Ferroptosis_EGFRWTLUAD_Prognosis_39478024","2/15","10/3486",0.2,46.48,9.46673643535956,0.000762519849903664,0.00290194845778615,0.00143749768806744,"NOX4/DUOX1",2
"Control","Control","Accidental cell death_GeneCards","Accidental cell death_GeneCards","3/15","44/3486",0.0681818181818182,15.8454545454545,6.51379548390119,0.00076816282706104,0.00290194845778615,0.00143749768806744,"CS/DUOX1/DUOX2",3
"Control","Control","Ferroptosis_AML_Prognosis_36338716","Ferroptosis_AML_Prognosis_36338716","2/15","18/3486",0.111111111111111,25.8222222222222,6.93996182313418,0.00254147864771016,0.00864102740221455,0.00428038509088027,"ACSF2/G6PD",2
