"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Ferroptosis_FerrDb V2(36305834)","Ferroptosis_FerrDb V2(36305834)","100/100","486/14739",0.205761316872428,30.3271604938272,54.3373655547468,1.59392086080407e-153,1.56204244358799e-151,5.20121544051855e-152,"RPL8/IREB2/ATP5MC3/CS/EMC2/ACSF2/NOX1/CYBB/NOX3/NOX4/NOX5/DUOX1/DUOX2/G6PD/PGD/VDAC2/PIK3CA/FLT3/SCP2/TP53/ACSL4/LPCAT3/NRAS/KRAS/HRAS/TF/TFRC/TFR2/SLC38A1/SLC1A5/GLS2/GOT1/CARS1/ALOX5/KEAP1/HMOX1/ATG5/ATG7/NCOA4/ALOX12/ALOX12B/ALOX15/ALOX15B/ALOXE3/PHKG2/ACO1/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/SNX4/ATG13/ULK2/SAT1/EGFR/MAPK3/MAPK1/BID/ZEB1/DPP4/CDKN2A/PEBP1/SOCS1/CDO1/MYB/MAPK8/MAPK9/CHAC1/MAPK14/PRKAA2/PRKAA1/ELAVL1/BAP1/ABCC1/ACVR1B/TGFBR1/EPAS1/HILPDA/HIF1A/IFNG/ANO6/LPIN1/HMGB1/TNFAIP3/TLR4/ATF3/ATM/YY1AP1/EGLN2/MIOX/TAFAZZIN/MTDH/IDH1/SIRT1",100
"Ferroptosis_Pan Cancer_37968457","Ferroptosis_Pan Cancer_37968457","64/100","283/14739",0.226148409893993,33.3320141342756,45.3905535036095,7.96120190559457e-87,3.90098893374134e-85,1.29893294249175e-85,"CS/EMC2/NOX1/CYBB/NOX3/NOX5/DUOX1/DUOX2/G6PD/PGD/FLT3/SCP2/NRAS/KRAS/HRAS/TFR2/CARS1/ATG7/ALOX12B/ALOX15B/ALOXE3/PHKG2/ACO1/ULK1/ATG3/ATG4D/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/SNX4/ATG13/ULK2/SAT1/EGFR/BID/DPP4/CDKN2A/PEBP1/SOCS1/CDO1/MYB/MAPK8/MAPK9/PRKAA2/PRKAA1/ABCC1/ACVR1B/TGFBR1/EPAS1/HILPDA/IFNG/ANO6/LPIN1/TNFAIP3/TLR4/ATM/YY1AP1/EGLN2/MIOX/MTDH/IDH1",64
"Ferroptosis_STAD_35023280","Ferroptosis_STAD_35023280","20/100","34/14739",0.588235294117647,86.7,41.3476981103957,7.30436968614703e-36,2.3860940974747e-34,7.94510386914239e-35,"ACSF2/NOX4/TP53/TF/TFRC/SLC1A5/ALOX12/ALOX15/MAPK3/ZEB1/DPP4/CDKN2A/CDO1/MYB/CHAC1/PRKAA2/HIF1A/IFNG/ATF3/MIOX",20
"Ferroptosis_Pediatric Sepsis_40070882","Ferroptosis_Pediatric Sepsis_40070882","21/100","74/14739",0.283783783783784,41.8268918918919,29.0994456525281,3.53677130797823e-29,8.66508970454667e-28,2.88526080387698e-28,"G6PD/PGD/FLT3/ACSL4/SLC38A1/SLC1A5/ALOX5/ALOX12/ALOX15B/ULK1/GABARAPL2/WIPI1/MAPK3/ZEB1/DPP4/MAPK8/MAPK14/ACVR1B/TLR4/ATM/IDH1",21
"Ferroptosis_DLBCL_39488307","Ferroptosis_DLBCL_39488307","16/100","27/14739",0.592592592592593,87.3422222222222,37.1135772681619,7.03312652914663e-29,1.37849279971274e-27,4.59004047165359e-28,"TP53/TFRC/TFR2/SLC38A1/SLC1A5/ALOX15/ACO1/ATG3/SNX4/SAT1/DPP4/PEBP1/SOCS1/ABCC1/LPIN1/ATM",16
"Ferroptosis_ALI_37149072","Ferroptosis_ALI_37149072","20/100","85/14739",0.235294117647059,34.68,25.7375393006066,5.65083297278643e-26,9.22969385555116e-25,3.07326003783121e-25,"ACSF2/VDAC2/NRAS/HMOX1/NCOA4/ALOX12/GABARAPL2/MAPK3/BID/DPP4/SOCS1/CDO1/MYB/MAPK8/MAPK14/PRKAA2/TGFBR1/HIF1A/TLR4/MTDH",20
"Autophagy_Pan Cancer_35241019","Autophagy_Pan Cancer_35241019","33/100","495/14739",0.0666666666666667,9.826,16.5087469562623,2.96173441631719e-24,4.14642818284406e-23,1.38065814895989e-23,"PIK3CA/TP53/KEAP1/HMOX1/ATG5/ATG7/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/ATG13/ULK2/EGFR/MAPK3/MAPK1/BID/CDKN2A/MAPK8/MAPK9/PRKAA2/PRKAA1/HIF1A/IFNG/HMGB1/ATM/MTDH/SIRT1",33
"Ferroptosis_DKD_38678670","Ferroptosis_DKD_38678670","14/100","51/14739",0.274509803921569,40.46,23.3305194147527,1.79241399267754e-19,2.19570714102999e-18,7.31116233855314e-19,"CYBB/DUOX2/TP53/ACSL4/ALOX5/ALOX12/ALOXE3/ULK1/BID/SOCS1/MYB/MAPK8/EPAS1/TLR4",14
"Ferroptosis_PD_Prognosis_40465746","Ferroptosis_PD_Prognosis_40465746","14/100","55/14739",0.254545454545455,37.5174545454545,22.42452357346,5.90571303696754e-19,6.43066530692021e-18,2.1412526800701e-18,"RPL8/NOX4/NOX5/DUOX1/DUOX2/G6PD/ACSL4/SLC38A1/ALOX15/ALOX15B/CDKN2A/PRKAA2/EGLN2/MIOX",14
"Ferroptosis_AML_Prognosis_36338716","Ferroptosis_AML_Prognosis_36338716","10/100","18/14739",0.555555555555556,81.8833333333333,28.3785504176158,5.45025479859125e-18,5.34124970261943e-17,1.77850419743504e-17,"ACSF2/G6PD/LPCAT3/GOT1/KEAP1/HMOX1/NCOA4/SAT1/DPP4/CHAC1",10
