"Pathway","Control","Treatment","Statistic","P_value","P_adjust"
"Accidental cell death_GeneCards",0.0512154742776846,0.338138933503489,0,0.00216450216450216,0.00348521534962213
"Anoikis_LUAD_Prognosis_41187171",-0.0760146734192701,0.397324830879576,0,0.00216450216450216,0.00348521534962213
"Anoikis_LUSC_40028162",0.0613431712916325,0.373952892622679,0,0.00216450216450216,0.00348521534962213
"Anoikis_Pan Cancer_37275895",0.0687610748955448,0.386052070001177,0,0.00216450216450216,0.00348521534962213
"Apoptosis_OS_Prognosis_35576501",0.0760548232374938,0.387759015111705,0,0.00216450216450216,0.00348521534962213
"Apoptosis_Pan cancer_36044785",0.085192701374686,0.371585724668624,0,0.00216450216450216,0.00348521534962213
"Apoptosis_Pan Cancer_36703967",0.0768142340313858,0.37299863449989,0,0.00216450216450216,0.00348521534962213
"Apoptosis_Pan Cancer_37968457",0.0765070515053554,0.350785906853603,0,0.00216450216450216,0.00348521534962213
"Autophagy_Pan Cancer_35241019",0.0768586172535185,0.379520178371338,0,0.00216450216450216,0.00348521534962213
"Autophagy_Pan Cancer_36703967",0.0457861563735847,0.358677920065584,0,0.00216450216450216,0.00348521534962213
"Autophagy_Pan Cancer_41554207",0.0747485633383192,0.362639718156271,0,0.00216450216450216,0.00348521534962213
"Autosis(autophagic_cell_death)_GeneCards",0.0678739415414566,0.385298224231656,0,0.00216450216450216,0.00348521534962213
"Cuproptosis_CuPCA",0.0708353227537142,0.361363131985275,0,0.00216450216450216,0.00348521534962213
"Cuproptosis_NAFLD_37822923",0.0630477298600103,0.37889353279825,0,0.00216450216450216,0.00348521534962213
"Disulfidptosis_AS_38433839",0.0763915115983071,0.367639209360455,0,0.00216450216450216,0.00348521534962213
"Disulfidptosis_CD_38433839",0.0562091984371885,0.345419530666598,0,0.00216450216450216,0.00348521534962213
"Disulfidptosis_UC_38433839",0.0375825381439799,0.344901139036343,0,0.00216450216450216,0.00348521534962213
"Efferocytosis_Pan Cancer",0.0629545178174674,0.345910156426901,0,0.00216450216450216,0.00348521534962213
"Entoticcelldeath_GeneCards",0.0241188346436747,0.449718010476801,0,0.00216450216450216,0.00348521534962213
"Extrinsic apoptosis_GeneCards",0.0859579705415905,0.382674604010108,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_ALI_37149072",0.0645468434657277,0.354234057793861,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_AML_Prognosis_36338716",0.0287265506428804,0.331091352205355,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_CCA_Prognosis_36733386",0.0792462320326675,0.407280104823195,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_CRC_Prognosis_38774759",0.0810222627051634,0.356605350327739,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_DKD_38678670",0.09070824776773,0.364814352872283,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_DLBCL_39488307",0.10340046835895,0.357000325915555,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_EGFRWTLUAD_Prognosis_39478024",0.0441679554819484,0.364953283608297,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_ES_Prognosis_36050939",0.0684783148118606,0.373098450434076,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_FerrDb V2(36305834)",0.070395828504647,0.415588949732825,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_Glioma_Prognosis_32733879",-0.0173197669608172,0.355238798735834,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_Gliomas_Prognosis_35711838",0.0358056777959631,0.38742714971186,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_HCC_Prognosis_38139032",0.0874973733341307,0.38732673863246,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_HNSCC_Prognosis_34906855",0.0926463570634049,0.320184442293941,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_IDD_36819777",0.0503946759751107,0.367150546353178,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_IDD_Down_36814575",0.0210490539423726,0.347903681059929,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_IDD_Up_36814575",0.0964916331116761,0.3682560238986,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_Pan Cancer_37968457",0.0705781840933742,0.38306878146087,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_PD_Prognosis_40465746",0.0978418935224397,0.355314959365173,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_Pediatric Sepsis_40070882",0.0308632086858592,0.359517128751826,0,0.00216450216450216,0.00348521534962213
"Ferroptosis_STAD_35023280",0.0524848283799814,0.367824175241589,0,0.00216450216450216,0.00348521534962213
"Immunogenic Cell Death_HCC_38681068",0.0443900210498586,0.318149963585607,0,0.00216450216450216,0.00348521534962213
"Immunogenic Cell Death_Pan Cancer_27057433",0.0393026409199738,0.305488939383163,0,0.00216450216450216,0.00348521534962213
"Intrinsic apoptosis_GeneCards",0.0753905624427958,0.407147295427267,0,0.00216450216450216,0.00348521534962213
